Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily	Definition
Q#71 - >GCA_009651575.1_00001[]	superfamily	444754	83	153	7.63406e-16	70.4335	cl00213	DNA_BRE_C superfamily	N	 - 	DNA breaking-rejoining enzymes, C-terminal catalytic domain; The DNA breaking-rejoining enzyme superfamily includes type IB topoisomerases and tyrosine based site-specific recombinases (integrases) that share the same fold in their catalytic domain containing conserved active site residues. The best-studied members of this diverse superfamily include Human topoisomerase I, the bacteriophage lambda integrase, the bacteriophage P1 Cre recombinase, the yeast Flp recombinase, and the bacterial XerD/C recombinases. Their overall reaction mechanism is essentially identical and involves cleavage of a single strand of a DNA duplex by nucleophilic attack of a conserved tyrosine to give a 3' phosphotyrosyl protein-DNA adduct. In the second rejoining step, a terminal 5' hydroxyl attacks the covalent adduct to release the enzyme and generate duplex DNA. The enzymes differ in that topoisomerases cleave and then rejoin the same 5' and 3' termini, whereas a site-specific recombinase transfers a 5' hydroxyl generated by recombinase cleavage to a new 3' phosphate partner located in a different duplex region. Many DNA breaking-rejoining enzymes also have N-terminal domains, which show little sequence or structure similarity.
Q#71 - >GCA_009651575.1_00001[]	superfamily	227308	116	155	2.95454e-05	42.9612	cl44177	XerD superfamily	N	 - 	Site-specific recombinase XerD [Replication, recombination and repair]; Site-specific recombinase XerD [DNA replication, recombination, and repair].
Q#73 - >GCA_009654915.1_00002[]	superfamily	444754	107	263	1.75259e-41	140.54	cl00213	DNA_BRE_C superfamily	 - 	 - 	DNA breaking-rejoining enzymes, C-terminal catalytic domain; The DNA breaking-rejoining enzyme superfamily includes type IB topoisomerases and tyrosine based site-specific recombinases (integrases) that share the same fold in their catalytic domain containing conserved active site residues. The best-studied members of this diverse superfamily include Human topoisomerase I, the bacteriophage lambda integrase, the bacteriophage P1 Cre recombinase, the yeast Flp recombinase, and the bacterial XerD/C recombinases. Their overall reaction mechanism is essentially identical and involves cleavage of a single strand of a DNA duplex by nucleophilic attack of a conserved tyrosine to give a 3' phosphotyrosyl protein-DNA adduct. In the second rejoining step, a terminal 5' hydroxyl attacks the covalent adduct to release the enzyme and generate duplex DNA. The enzymes differ in that topoisomerases cleave and then rejoin the same 5' and 3' termini, whereas a site-specific recombinase transfers a 5' hydroxyl generated by recombinase cleavage to a new 3' phosphate partner located in a different duplex region. Many DNA breaking-rejoining enzymes also have N-terminal domains, which show little sequence or structure similarity.
Q#73 - >GCA_009654915.1_00002[]	superfamily	227308	64	274	1.2685e-13	69.54	cl44177	XerD superfamily	N	 - 	Site-specific recombinase XerD [Replication, recombination and repair]; Site-specific recombinase XerD [DNA replication, recombination, and repair].
Q#73 - >GCA_009654915.1_00002[]	superfamily	227307	66	264	1.33404e-13	69.3478	cl44176	XerC superfamily	N	 - 	Site-specific recombinase XerC [Replication, recombination and repair]; Site-specific recombinase XerC [DNA replication, recombination, and repair].
Q#73 - >GCA_009654915.1_00002[]	superfamily	223655	31	276	2.76923e-13	68.7636	cl43194	XerC superfamily	 - 	 - 	Integrase [Replication, recombination and repair, Mobilome: prophages, transposons]; Integrase [DNA replication, recombination, and repair].
Q#78 - >GCA_009654915.1_00007[]	superfamily	222797	5	796	0	666.341	cl42978	PHA00452 superfamily	 - 	 - 	T3/T7-like RNA polymerase
Q#78 - >GCA_009654915.1_00007[]	superfamily	227439	3	796	1.59965e-125	403.217	cl34907	RPO41 superfamily	N	 - 	Mitochondrial DNA-directed RNA polymerase  [Transcription]; Mitochondrial DNA-directed RNA polymerase [Transcription].
Q#78 - >GCA_009654915.1_00007[]	superfamily	425956	408	797	2.72376e-110	342.555	cl44477	RNA_pol superfamily	 - 	 - 	DNA-dependent RNA polymerase; This is a family of single chain RNA polymerases.
Q#78 - >GCA_009654915.1_00007[]	superfamily	434140	6	284	6.43876e-16	78.799	cl20638	RPOL_N superfamily	 - 	 - 	DNA-directed RNA polymerase N-terminal; This is the N-terminal domain of DNA-directed RNA polymerase. This domain has a role in interaction with regions of upstream promoter DNA and the nascent RNA chain, leading to the processivity of the enzyme. In order to make mRNA transcripts the RNA polymerase undergoes a transition from the initiation phase (which only makes short fragments of RNA) to an elongation phase. This domain undergoes a structural change in the transition from initiation to elongation phase. The structural change results in abolition of the promoter binding site, creation of a channel accommodating the heteroduplex in the active site and formation of an exit tunnel which the RNA transcript passes through after peeling off the heteroduplex.
Q#114 - >GCA_012637035.1_00003[]	superfamily	177283	48	321	6.75537e-87	268.197	cl20113	PHA00451 superfamily	C	 - 	protein kinase
Q#139 - >GCA_013377455.1_00006[]	superfamily	451274	75	224	1.15673e-08	52.7754	cl21496	2OG-FeII_Oxy superfamily	 - 	 - 	2OG-Fe(II) oxygenase superfamily; This family contains members of the 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily. This family includes the C-terminal of prolyl 4-hydroxylase alpha subunit. The holoenzyme has the activity EC:1.14.11.2 catalyzing the reaction: Procollagen L-proline + 2-oxoglutarate + O2 <=> procollagen trans- 4-hydroxy-L-proline + succinate + CO2. The full enzyme consists of a alpha2 beta2 complex with the alpha subunit contributing most of the parts of the active site. The family also includes lysyl hydrolases, isopenicillin synthases and AlkB.
Q#150 - >GCA_014489655.2_00001[]	superfamily	444686	41	83	1.0794e-12	57.9867	cl00083	HNHc superfamily	 - 	 - 	HNH nucleases; HNH endonuclease signature which is found in viral, prokaryotic, and eukaryotic proteins. The alignment includes members of the large group of homing endonucleases, yeast intron 1 protein, MutS, as well as bacterial colicins, pyocins, and anaredoxins.
Q#168 - >GCA_015644885.1_00034[]	superfamily	224759	43	109	1.63498e-05	40.6572	cl43541	MarR superfamily	NC	 - 	DNA-binding transcriptional regulator, MarR family [Transcription]; Transcriptional regulators [Transcription].
Q#169 - >GCA_015644885.1_00035[]	superfamily	444754	129	287	1.44405e-27	105.101	cl00213	DNA_BRE_C superfamily	 - 	 - 	DNA breaking-rejoining enzymes, C-terminal catalytic domain; The DNA breaking-rejoining enzyme superfamily includes type IB topoisomerases and tyrosine based site-specific recombinases (integrases) that share the same fold in their catalytic domain containing conserved active site residues. The best-studied members of this diverse superfamily include Human topoisomerase I, the bacteriophage lambda integrase, the bacteriophage P1 Cre recombinase, the yeast Flp recombinase, and the bacterial XerD/C recombinases. Their overall reaction mechanism is essentially identical and involves cleavage of a single strand of a DNA duplex by nucleophilic attack of a conserved tyrosine to give a 3' phosphotyrosyl protein-DNA adduct. In the second rejoining step, a terminal 5' hydroxyl attacks the covalent adduct to release the enzyme and generate duplex DNA. The enzymes differ in that topoisomerases cleave and then rejoin the same 5' and 3' termini, whereas a site-specific recombinase transfers a 5' hydroxyl generated by recombinase cleavage to a new 3' phosphate partner located in a different duplex region. Many DNA breaking-rejoining enzymes also have N-terminal domains, which show little sequence or structure similarity.
Q#169 - >GCA_015644885.1_00035[]	superfamily	223655	56	299	4.22347e-12	65.682	cl43194	XerC superfamily	 - 	 - 	Integrase [Replication, recombination and repair, Mobilome: prophages, transposons]; Integrase [DNA replication, recombination, and repair].
Q#169 - >GCA_015644885.1_00035[]	superfamily	227308	66	278	3.49417e-09	56.8284	cl44177	XerD superfamily	 - 	 - 	Site-specific recombinase XerD [Replication, recombination and repair]; Site-specific recombinase XerD [DNA replication, recombination, and repair].
Q#178 - >GCA_016600835.1_00003[]	superfamily	445616	122	169	4.907e-07	47.2365	cl01953	ArdA superfamily	N	 - 	Antirestriction protein (ArdA); This family consists of several bacterial antirestriction (ArdA) proteins. ArdA functions in bacterial conjugation to allow an unmodified plasmid to evade restriction in the recipient bacterium and yet acquire cognate modification.
Q#183 - >GCA_016653735.1_00005[]	superfamily	177283	1	102	5.68483e-62	192.698	cl20113	PHA00451 superfamily	C	 - 	protein kinase
Q#184 - >GCA_016653735.1_00006[]	superfamily	177283	1	232	6.90219e-117	337.533	cl20113	PHA00451 superfamily	N	 - 	protein kinase
Q#185 - >GCA_016653745.1_00052[]	superfamily	224759	11	112	2.67923e-08	48.7464	cl43541	MarR superfamily	C	 - 	DNA-binding transcriptional regulator, MarR family [Transcription]; Transcriptional regulators [Transcription].
Q#185 - >GCA_016653745.1_00052[]	superfamily	451250	31	110	7.66866e-06	41.4255	cl21459	HTH superfamily	 - 	 - 	Helix-turn-helix domains; A large family of mostly alpha-helical protein domains with a characteristic fold; most members function as sequence-specific DNA binding domains, such as in transcription regulators. This superfamily also includes the winged helix-turn-helix domains.
Q#186 - >GCA_016653745.1_00055[]	superfamily	444754	157	313	2.01664e-30	113.191	cl00213	DNA_BRE_C superfamily	 - 	 - 	DNA breaking-rejoining enzymes, C-terminal catalytic domain; The DNA breaking-rejoining enzyme superfamily includes type IB topoisomerases and tyrosine based site-specific recombinases (integrases) that share the same fold in their catalytic domain containing conserved active site residues. The best-studied members of this diverse superfamily include Human topoisomerase I, the bacteriophage lambda integrase, the bacteriophage P1 Cre recombinase, the yeast Flp recombinase, and the bacterial XerD/C recombinases. Their overall reaction mechanism is essentially identical and involves cleavage of a single strand of a DNA duplex by nucleophilic attack of a conserved tyrosine to give a 3' phosphotyrosyl protein-DNA adduct. In the second rejoining step, a terminal 5' hydroxyl attacks the covalent adduct to release the enzyme and generate duplex DNA. The enzymes differ in that topoisomerases cleave and then rejoin the same 5' and 3' termini, whereas a site-specific recombinase transfers a 5' hydroxyl generated by recombinase cleavage to a new 3' phosphate partner located in a different duplex region. Many DNA breaking-rejoining enzymes also have N-terminal domains, which show little sequence or structure similarity.
Q#186 - >GCA_016653745.1_00055[]	superfamily	227308	120	321	6.06473e-11	62.2212	cl44177	XerD superfamily	N	 - 	Site-specific recombinase XerD [Replication, recombination and repair]; Site-specific recombinase XerD [DNA replication, recombination, and repair].
Q#186 - >GCA_016653745.1_00055[]	superfamily	227307	167	314	2.89752e-09	57.4066	cl44176	XerC superfamily	N	 - 	Site-specific recombinase XerC [Replication, recombination and repair]; Site-specific recombinase XerC [DNA replication, recombination, and repair].
Q#186 - >GCA_016653745.1_00055[]	superfamily	223655	109	327	6.63619e-08	53.3556	cl43194	XerC superfamily	N	 - 	Integrase [Replication, recombination and repair, Mobilome: prophages, transposons]; Integrase [DNA replication, recombination, and repair].
Q#191 - >GCA_018726505.1_00006[]	superfamily	177283	1	73	7.75826e-35	120.665	cl20113	PHA00451 superfamily	N	 - 	protein kinase
Q#194 - >GCA_020472965.1_00052[]	superfamily	222797	1	21	2.77302e-05	37.3102	cl42978	PHA00452 superfamily	C	 - 	T3/T7-like RNA polymerase
Q#197 - >GCA_020488535.1_00041[]	superfamily	430152	8	96	1.98736e-28	101.286	cl07342	ocr superfamily	 - 	 - 	DNA mimic ocr; The structure of an ocr protein from bacteriophage T7 has shown that this protein mimics the size and shape of a bent DNA molecule. ocr has also been shown to be an inhibitor of the complex type I DNA restriction enzymes.
Q#200 - >GCA_020488535.1_00046[]	superfamily	411452	14	517	0	824.477	cl41500	termin_lrg_T7 superfamily	 - 	 - 	phage terminase large subunit; The phage terminase large subunit (TerL) is also called DNA maturase B. It oligomerizes into an ATPase that forces DNA into a pre-existing phage prohead to package the DNA. This TerL family includes members from phage T7 and phage T3, among others.
Q#201 - >GCA_020488535.1_00047[]	superfamily	444686	37	81	3.07634e-10	51.8235	cl00083	HNHc superfamily	 - 	 - 	HNH nucleases; HNH endonuclease signature which is found in viral, prokaryotic, and eukaryotic proteins. The alignment includes members of the large group of homing endonucleases, yeast intron 1 protein, MutS, as well as bacterial colicins, pyocins, and anaredoxins.
Q#204 - >GCA_020488535.1_00050[]	superfamily	420083	2	73	1.71678e-30	102.573	cl23904	DNA_Packaging_2 superfamily	 - 	 - 	DNA packaging protein; This DNA packaging protein is also referred to as gene 18 product (gp18). This protein is required for DNA packaging and functions in a complex with gp19.
Q#211 - >GCA_020490015.1_00010[]	superfamily	222797	1	834	0	610.872	cl42978	PHA00452 superfamily	 - 	 - 	T3/T7-like RNA polymerase
Q#211 - >GCA_020490015.1_00010[]	superfamily	227439	6	833	2.77466e-79	277.642	cl34907	RPO41 superfamily	N	 - 	Mitochondrial DNA-directed RNA polymerase  [Transcription]; Mitochondrial DNA-directed RNA polymerase [Transcription].
Q#211 - >GCA_020490015.1_00010[]	superfamily	425956	426	834	2.88744e-78	258.967	cl44477	RNA_pol superfamily	 - 	 - 	DNA-dependent RNA polymerase; This is a family of single chain RNA polymerases.
Q#226 - >GCA_020892805.1_00011[]	superfamily	177283	1	61	1.22899e-26	98.3239	cl20113	PHA00451 superfamily	N	 - 	protein kinase
Q#227 - >GCA_021090025.1_00048[]	superfamily	222797	9	832	0	711.024	cl42978	PHA00452 superfamily	 - 	 - 	T3/T7-like RNA polymerase
Q#227 - >GCA_021090025.1_00048[]	superfamily	227439	12	832	4.96501e-171	524.17	cl34907	RPO41 superfamily	N	 - 	Mitochondrial DNA-directed RNA polymerase  [Transcription]; Mitochondrial DNA-directed RNA polymerase [Transcription].
Q#227 - >GCA_021090025.1_00048[]	superfamily	425956	422	832	6.99036e-136	409.58	cl44477	RNA_pol superfamily	 - 	 - 	DNA-dependent RNA polymerase; This is a family of single chain RNA polymerases.
Q#227 - >GCA_021090025.1_00048[]	superfamily	434140	162	296	5.97974e-09	57.9982	cl20638	RPOL_N superfamily	N	 - 	DNA-directed RNA polymerase N-terminal; This is the N-terminal domain of DNA-directed RNA polymerase. This domain has a role in interaction with regions of upstream promoter DNA and the nascent RNA chain, leading to the processivity of the enzyme. In order to make mRNA transcripts the RNA polymerase undergoes a transition from the initiation phase (which only makes short fragments of RNA) to an elongation phase. This domain undergoes a structural change in the transition from initiation to elongation phase. The structural change results in abolition of the promoter binding site, creation of a channel accommodating the heteroduplex in the active site and formation of an exit tunnel which the RNA transcript passes through after peeling off the heteroduplex.
Q#228 - >GCA_021090025.1_00049[]	superfamily	444754	170	342	4.40148e-30	112.805	cl00213	DNA_BRE_C superfamily	 - 	 - 	DNA breaking-rejoining enzymes, C-terminal catalytic domain; The DNA breaking-rejoining enzyme superfamily includes type IB topoisomerases and tyrosine based site-specific recombinases (integrases) that share the same fold in their catalytic domain containing conserved active site residues. The best-studied members of this diverse superfamily include Human topoisomerase I, the bacteriophage lambda integrase, the bacteriophage P1 Cre recombinase, the yeast Flp recombinase, and the bacterial XerD/C recombinases. Their overall reaction mechanism is essentially identical and involves cleavage of a single strand of a DNA duplex by nucleophilic attack of a conserved tyrosine to give a 3' phosphotyrosyl protein-DNA adduct. In the second rejoining step, a terminal 5' hydroxyl attacks the covalent adduct to release the enzyme and generate duplex DNA. The enzymes differ in that topoisomerases cleave and then rejoin the same 5' and 3' termini, whereas a site-specific recombinase transfers a 5' hydroxyl generated by recombinase cleavage to a new 3' phosphate partner located in a different duplex region. Many DNA breaking-rejoining enzymes also have N-terminal domains, which show little sequence or structure similarity.
Q#228 - >GCA_021090025.1_00049[]	superfamily	223655	65	352	3.95564e-07	51.0444	cl43194	XerC superfamily	 - 	 - 	Integrase [Replication, recombination and repair, Mobilome: prophages, transposons]; Integrase [DNA replication, recombination, and repair].
Q#238 - >GCA_021351865.1_00050[]	superfamily	444686	52	95	1.14814e-06	42.5787	cl00083	HNHc superfamily	 - 	 - 	HNH nucleases; HNH endonuclease signature which is found in viral, prokaryotic, and eukaryotic proteins. The alignment includes members of the large group of homing endonucleases, yeast intron 1 protein, MutS, as well as bacterial colicins, pyocins, and anaredoxins.
Q#244 - >GCA_021378495.1_00043[]	superfamily	177283	1	43	7.37411e-21	82.1455	cl20113	PHA00451 superfamily	C	 - 	protein kinase
Q#256 - >GCA_021870105.1_00001[]	superfamily	430152	3	103	9.87893e-69	206.06	cl07342	ocr superfamily	 - 	 - 	DNA mimic ocr; The structure of an ocr protein from bacteriophage T7 has shown that this protein mimics the size and shape of a bent DNA molecule. ocr has also been shown to be an inhibitor of the complex type I DNA restriction enzymes.
Q#256 - >GCA_021870105.1_00001[]	superfamily	177283	104	231	4.864e-46	156.489	cl20113	PHA00451 superfamily	N	 - 	protein kinase
Q#263 - >GCA_022401895.1_00043[]	superfamily	447896	6	52	7.88876e-13	55.3927	cl10200	PHA00406 superfamily	 - 	 - 	hypothetical protein
Q#264 - >GCA_022401895.1_00045[]	superfamily	451417	2	145	1.48583e-68	203.858	cl22701	Phage_lysis superfamily	 - 	 - 	Bacteriophage Rz lysis protein; This protein is involved in host lysis. This family is not considered to be a peptidase according to the MEROPs database. This family Rz and the Rz1 protein (pfam06085) represent a unique example of two genes located in different reading frames in the same nucleotide sequence, which encode different proteins that are both required in the same physiological pathway.
Q#265 - >GCA_022401895.1_00046[]	superfamily	420083	1	87	1.30917e-37	120.677	cl23904	DNA_Packaging_2 superfamily	 - 	 - 	DNA packaging protein; This DNA packaging protein is also referred to as gene 18 product (gp18). This protein is required for DNA packaging and functions in a complex with gp19.
Q#266 - >GCA_022401895.1_00047[]	superfamily	452785	1	58	2.46174e-28	95.6628	cl27843	Phage_holin_2_2 superfamily	 - 	 - 	Phage holin T7 family, holin superfamily II; Holins are a diverse family of proteins that cause bacterial membrane lysis during late-protein synthesis.
Q#309 - >GCA_024381245.2_00045[]	superfamily	177283	16	396	1.56605e-81	253.945	cl20113	PHA00451 superfamily	 - 	 - 	protein kinase
Q#312 - >GCA_024384215.1_00014[]	superfamily	177283	1	42	5.44782e-13	59.8039	cl20113	PHA00451 superfamily	N	 - 	protein kinase
Q#316 - >GCA_024499585.1_00004[]	superfamily	222797	19	798	3.67461e-158	480.29	cl42978	PHA00452 superfamily	 - 	 - 	T3/T7-like RNA polymerase
Q#316 - >GCA_024499585.1_00004[]	superfamily	227439	16	798	2.20619e-100	335.422	cl34907	RPO41 superfamily	N	 - 	Mitochondrial DNA-directed RNA polymerase  [Transcription]; Mitochondrial DNA-directed RNA polymerase [Transcription].
Q#316 - >GCA_024499585.1_00004[]	superfamily	425956	417	799	6.63981e-71	238.551	cl44477	RNA_pol superfamily	 - 	 - 	DNA-dependent RNA polymerase; This is a family of single chain RNA polymerases.
Q#322 - >GCA_024499755.1_00005[]	superfamily	444754	108	265	4.94576e-29	108.183	cl00213	DNA_BRE_C superfamily	 - 	 - 	DNA breaking-rejoining enzymes, C-terminal catalytic domain; The DNA breaking-rejoining enzyme superfamily includes type IB topoisomerases and tyrosine based site-specific recombinases (integrases) that share the same fold in their catalytic domain containing conserved active site residues. The best-studied members of this diverse superfamily include Human topoisomerase I, the bacteriophage lambda integrase, the bacteriophage P1 Cre recombinase, the yeast Flp recombinase, and the bacterial XerD/C recombinases. Their overall reaction mechanism is essentially identical and involves cleavage of a single strand of a DNA duplex by nucleophilic attack of a conserved tyrosine to give a 3' phosphotyrosyl protein-DNA adduct. In the second rejoining step, a terminal 5' hydroxyl attacks the covalent adduct to release the enzyme and generate duplex DNA. The enzymes differ in that topoisomerases cleave and then rejoin the same 5' and 3' termini, whereas a site-specific recombinase transfers a 5' hydroxyl generated by recombinase cleavage to a new 3' phosphate partner located in a different duplex region. Many DNA breaking-rejoining enzymes also have N-terminal domains, which show little sequence or structure similarity.
Q#322 - >GCA_024499755.1_00005[]	superfamily	223655	59	277	9.65753e-08	52.2	cl43194	XerC superfamily	N	 - 	Integrase [Replication, recombination and repair, Mobilome: prophages, transposons]; Integrase [DNA replication, recombination, and repair].
Q#322 - >GCA_024499755.1_00005[]	superfamily	227308	141	275	1.72367e-06	48.354	cl44177	XerD superfamily	N	 - 	Site-specific recombinase XerD [Replication, recombination and repair]; Site-specific recombinase XerD [DNA replication, recombination, and repair].
Q#325 - >GCA_024499755.1_00008[]	superfamily	222797	1	797	2.48585e-153	467.578	cl42978	PHA00452 superfamily	 - 	 - 	T3/T7-like RNA polymerase
